sub_id,site
1,HKH
1,ATV
1,COI
1,HUH
1,KPM
1,KUS
1,KUT
1,SWA
1,UTO
1,YC1
1,YC2
2,HKH
2,ATV
2,COI
2,HUH
2,KPM
2,KUS
2,KUT
2,SWA
2,UTO
2,YC1
3,HKH
3,ATV
3,COI
3,HUH
3,KPM
3,KUS
3,KUT
3,SWA
3,YC1
3,YC2
4,HKH
4,ATV
4,COI
4,HUH
4,KPM
4,KUS
4,KUT
4,SWA
4,UTO
4,YC1
4,YC2
5,HKH
5,ATV
5,COI
5,HUH
5,KPM
5,KUS
5,KUT
5,SWA
5,UTO
5,YC1
5,YC2
6,HKH
6,ATV
6,COI
6,HUH
6,KPM
6,KUS
6,KUT
6,SWA
6,UTO
6,YC1
6,YC2
7,HKH
7,ATV
7,COI
7,HUH
7,KPM
7,KUS
7,KUT
7,SWA
7,UTO
7,YC1
7,YC2
8,HKH
8,ATV
8,COI
8,HUH
8,KPM
8,KUS
8,KUT
8,SWA
8,UTO
8,YC1
8,YC2
9,HKH
9,ATV
9,COI
9,HUH
9,KPM
9,KUS
9,KUT
9,SWA
9,UTO
9,YC1
9,YC2
